TEXT,RATING
"The shirt was more of a smock. I expected a soft little cotton t shirt, but I suppose it\'s my fault for not reading the description carefully. Also, the white shirt was completely see through. I returned mine.""}},{r:{id:46830320,si:1,pi:10860142,mu:""{f7dedd4c-02d2-49ba-9553-4f9be0bdb9e5}",1
"The shirt was more of a smock. I expected a soft little cotton t shirt, but I suppose it\'s my fault for not reading the description carefully. Also, the white shirt was completely see through. I returned mine.""}},{r:{id:46830320,si:1,pi:10860142,mu:""{f7dedd4c-02d2-49ba-9553-4f9be0bdb9e5}",1
"The shirt was more of a smock. I expected a soft little cotton t shirt, but I suppose it\'s my fault for not reading the description carefully. Also, the white shirt was completely see through. I returned mine.""}},{r:{id:46830320,si:1,pi:10860142,mu:""{f7dedd4c-02d2-49ba-9553-4f9be0bdb9e5}",1
"Just received my order today. When I opened the package it appeared used to me. The product packaging was wrinkled and the way it was folded inside looked as if someone had just stuffed in the package. When I took it out of the package to put it on, the velcro wouldn't stick. Upon further inspection I realized that the velco was on the wrong side of the belt. It had ripped off of the correct side and stuck to the fuzzy part, which was proof someone had tried to use it before me and this is what happened.....probably why they returned it. Piece of garbage. Will return it to the store as soon as I can and I will order another brand from another store. Very disappointing because I am carrying twins and working full time. I have been struggling the last week to make it through a work day and was really hoping this would help. Now I have to wait and suffer the pain because I got a defective and used product.",1
"First of all, the button hole on this belt never matched the size of button on the pants I wanted to wear, either too small or too big.  \n\nThe short belt is normally too short, the long belt is too long to go with any pants I have.  And the fabric you are supposed to use to cover the exposed area, it is useless!  Too much fabric to tuck in.  \n\nAfter all, I am in 8th month and never used it, and returned it.  It was far better to use a rubber band in the length you like, and cover the waist line with BeBand, or the longer top.",1
"these didnt hold anything up and was obvious it was there",1
"Nothing else needed to say",1
"This didn't work on most of my pants because the hook wasn't the right size. Way over priced for what you get. I returned it. Just use a hair band. For a couple bucks you have the same effect.",1
"I was really excited to get this product but when I received it I wasn't impressed. This product doesn't stay in place & bunches up. By the time I received it I was unable to return it because my post man delivered it to the wrong address. Needless to say I wouldn't recommend this product",1
"I was really excited to get this product but when I received it I wasn't impressed. This product doesn't stay in place & bunches up. By the time I received it I was unable to return it because my post man delivered it to the wrong address. Needless to say I wouldn't recommend this product",1
"I can't tell you if it works or not. I bought the belly bandit's recommended medium (I should have gotten a large) and I can't get it to fit around me. I'm a little upset because it's not chea and I no longer have the return information/paperwork because I measured 2 times, ordered once and just knew it would fit.",1
"I can't tell you if it works or not. I bought the belly bandit's recommended medium (I should have gotten a large) and I can't get it to fit around me. I'm a little upset because it's not chea and I no longer have the return information/paperwork because I measured 2 times, ordered once and just knew it would fit.",1
"Horrible. Followed washing instruction and shrunk at least 2 sizes. Ridiculous. I'm going to attempt to return I will throw a fit if I'm not able.",1
"The initial fit was brilliant. I got it a size that would be flattering but a bit large in case I wanted to layer. Unfortunately after following the instructions on washing, it became unwearable. Every wash thereafter it continued to shrink, and now it can not even button.",1
"I loved this shirt in the store. I loved the black and white together. Unfortunately, it shrunk a bunch in the length. I washed it in cold and hung to dry and it still shrunk. I would return and re-order, but they are out of my size online and it is sold out in the store. I will probably try to wear tucked in with a cardigan. Too bad.",1
"I followed washing instructions and it shrank a ridiculous amount! Was unwearable-would have fit a four year old. I was furious. I threw it away. What a waste of money. I should have insisted that Target take it back but was afraid I couldn't because I had worn it once and washed it and didn't have receipt. Very disappointing. Don't buy this.",1
"After buying this shirt on clearance I read the reviews here. . . and then I read a bit about Rayon. Evidently most rayon (this included) requires dry cleaning. It can shrink enormous amounts even after being washed in cold water and hung to dry. (See the reviews for Target's other \",1
"First time I washed it the top shrank one size down. I bought a size up so it wasn't too bad except that now it's starting to come unraveled. And not at the seams. In the middle of the back.",1
"Inconsistent sizing! These do not match the size chart provided.\n\nI ordered another pair of size 8 shorts alongside these. The other pair was slightly big, but these are too tight! They don't match the size chart! Why does Target have inconsistent sizing? Both shorts are the same brand.",1
"I know it said 'one size' but the poncho (which is adorable) is gigantic. And not like in the cute-oversized look--- more like I am wearing-a-humongous-blanket-with-arm-holes look. I am very sad.",1
"This is not even remotely a sweatshirt, it's exactly like non-skid area rug padding. I literally had to peel it apart because it was stuck together and stiff. It's going right back to the store.",1
"This top is horrible quality... Before I wore it even once, I washed it in the washing machine and the fringe knotted itself into on giant knot. I couldn't get the knot out without ripping out almost all of the fringe. Now, there are practically seven remaining strands of fringe, the shirt looks horrible, and I wasted $20.",1
"Just received my order today. When I opened the package it appeared used to me. The product packaging was wrinkled and the way it was folded inside looked as if someone had just stuffed in the package. When I took it out of the package to put it on, the velcro wouldn't stick. Upon further inspection I realized that the velco was on the wrong side of the belt. It had ripped off of the correct side and stuck to the fuzzy part, which was proof someone had tried to use it before me and this is what happened.....probably why they returned it. Piece of garbage. Will return it to the store as soon as I can and I will order another brand from another store. Very disappointing because I am carrying twins and working full time. I have been struggling the last week to make it through a work day and was really hoping this would help. Now I have to wait and suffer the pain because I got a defective and used product.",1
"I can't wear these because although the waist band is nice and large, the butt and leg parts of the pants are HUGE! NOT a size small by any means. I feel like they more like a size large. Don't know if Target is assuming that pregnant women are gaining a ton of extra weight??",1
"These were very cute when I put them on, but even prior to washing, they ripped lose along crotch and seams came undone along ankle. Unfortunately I wasn't able to return them. Very bummed I chose these over an actual pair of slacks.",1
"The first time I wore these leggings they came loose at the seam down the back, like another reviewer mentioned. Very disappointed.",1
"Soft and comfortable but definitely sheer when you bend over. Probably ok if you are just walking around but won't be suitable for yoga, Bar Method, or other exercise. Contemplated doubling up, which solves the problem, but that seems too silly. I will be returning these.",1
"These leggings are very tight, hot and make you sweat. I wish I would have taken them back. I bought much better ones from another store.",1
"This shirt rolled up. The straps inside the cup stuck out awkwardly. The fabric started balling after being washed one time. I wish I could return it. But Being a new mom I don't have time to deal with the possibility of not being able to return it. It is garbage. Don't buy it. Such a waste of money.",1
"Fell apart after one wash!!!!!",1
"The sides roll up on you and hurt. No structure to this item.",1
"Soft and comfortable but definitely sheer when you bend over. Probably ok if you are just walking around but won't be suitable for yoga, Bar Method, or other exercise. Contemplated doubling up, which solves the problem, but that seems too silly. I will be returning these.",1
"I have bought these legging 3 times before in the store so I was comfortable buying this pair online. Unfortunately, the first day I wore them they had a run (like pantyhose) all the way up the bottom. I don't want to return them because they have been worn. Just disappointed that I spent that much on one item that I didn't get my money's worth out of.",1
"As I was pulling them up they got a run just like a pair of hose! Never even got to wear them :( I so don't recommend!",1
"The size S/M is supposed to fit a size 0-10.  I am a size 10, 8 months pregnant, and I cannot get these leggings to stay up.  They are constantly falling down, won't stay over the belly and need readjusting all the time.  I feel like the crotch is always down near my knees.  I don't know how anyone smaller could get them to stay on!",1
"Horribly see through. Your have to wear a long shirt,sweater , or dress with them at all times otherwise your underwear sees through. Not worth the buy at all.",1
"Size 12 pre pregnancy and I have the size M L. These are a super comfortable fabric that won't fade and are like wearing pajamas...until you begin walking and they are constantly falling down. I just went shopping in them and had the crotch hanging so low that it was all I could think about. I am going to try with a Belly Band and see if it helps?",1
"I'm 5'3'', 105 lbs pre-pregnancy, now in my 7th month. I bought the small/medium, but I guess I should have known better because I tend more toward extra-small than medium. The big problem for me is the ankles--they are not fitted on me at all. Rather, they hang open at the bottom and look really stupid. I can only wear them if I wear socks over the bottom, which is okay for the winter but won't do for the spring. The legs are also a bit baggy on me. As mentioned by previous reviewers, they are not completely opaque, but that doesn't bother me because I don't wear leggings like pants (they're not pants!) but rather under dresses/long tunics.",1
"I bought a s/m typically wearing a 2 or 4.. The first time I wore these they had a seam separate up the back. Now I can't wear them anymore unless my bottom is completely covered.",1
"I read the reviews before choosing these and they were so off the mark! These are super think, like tights, not leggings at all. I wore them with a long sweater and was afraid to get up from my desk at work all day. Im a size 6 5'5\",1
"Love the material but they don't stay up.  Always ridding down when you walk.  Legs could be a little longer as well.",1
"The leggings are soft but not well made - would not stay up.  Not comfortable because you need to readjust every 2 minutes!",1
"Bloody awful. I got to wash these twice on gentle cycle and already they're full of holes. So much for style and comfort...I got to wear these twice and they look like I was standing too close to a fire already. Swiss cheese pants!",1
"Bought these in the store 3 days ago, wore it once, and there was a run (like pantyhose) in the back. They are extremely thin and very poor quality. I bought the M/L because I normally wear a M in leggings, but these were huge. The crotch area (like others have mentioned) is really baggy and ill fitting. Also the bottom of the leggings are not tight. Maybe I should have sized down to S/M, but didn't want them any more sheer than they already are.",1
"I should've heeded other reviewers advice and passed on these. They did not stay up for even five minutes. I love the tanks from this brand, but the leggings all went back.",1
"Really surprised to find these so uncomfortable because I usually love all things Gilligan & O'Malley. They have this scratchy elastic material on the outer edges that is extremely uncomfortable. Definitely not good for night wear.",1
"These bras had no support. I had size xl and I wear 38 ddd. Boobs falling out bottom. Maybe they'll work for someone with small boobs.",1
"L/XL was so tiny - I'm like 36D and it was so tiny",1
"These pants are basically just thicker material leggings. I purchased online to wear to work and had to return- the lack of pockets definitely make them just look like leggings. Not impressed.",1
"The belly band wasn't elastic enough and kept falling down. They were also weirdly tight in the knees.",1
"I'm not sure how they managed to make these pants both suffocating AND prickly, but they sure did. I returned them about 4 minutes after trying them on.",1
"Really surprised to find these so uncomfortable because I usually love all things Gilligan & O'Malley. They have this scratchy elastic material on the outer edges that is extremely uncomfortable. Definitely not good for night wear.",1
"These bras had no support. I had size xl and I wear 38 ddd. Boobs falling out bottom. Maybe they'll work for someone with small boobs.",1
"I was very disappointed with this unsupportive, uni-boob bra. I bought it two weeks before my due date and currently wear a 40G. This bra is not suitable for me at this size, much less after I start nursing and expect to need a larger size. I had to return it in store and order from an expensive, specialty bra store.",1
"This shirt rolled up. The straps inside the cup stuck out awkwardly. The fabric started balling after being washed one time. I wish I could return it. But Being a new mom I don't have time to deal with the possibility of not being able to return it. It is garbage. Don't buy it. Such a waste of money.",1
"Fell apart after one wash!!!!!",1
"The zipper on this product it of very low quality making it difficult to quickly put on and pump. I bought this so I could pump hands free but found the zipper to be very difficult to correctly zip which means it takes longer to use than if nothing was used (defeating the purpose of it.) It also does not hold the pumps tightly causing poor suction on the flanges and allows breast milk to leak from the bottom if you recline at all. This means I have to lean forward or hold the flanges in place (COMPLETELY defeating the purpose of the bandeau). Overall I am extremely disappointed in the quality of this product and it is not what I would expect from Medela for the price paid.",1
"Not really hands-free",1
"I was new to pumping and looking for a hands-free bra. I looked at 2 Targets and they were out of the size I needed and ultimately ended up ordering this bra. I should have believed the reviews. It's aweful! Literally, the zipper broke on my first use. The holes are positioned oddly, at least for me anyways, and this could never have been intended for long term use. I finally got ahold of a Simple Wishes hands-free bra and continued living my pumping life without incident for the next 8 months. Please please please do not waste your valuable time as a new mom purchasing this...you'll just be returning it at some point.",1
"the zipper broke the first time I put it on, so I exchanged it the zipper broke on the next one the second time i used it, I returned it wished it would because it is really nice to have you hands free",1
"I really wanted this bra to work b/c my homemade cutouts in a regular bra weren't good (I had to get started right away before the bra arrived in the mail). But the bandeau/wrap style doesn't work for large breasts. It just squashes them down with no support and you feel them pushed up against your body at the bottom of the bra. Just wearing it temporarily to pump was uncomfortable without any form of support. Same review for the Simple Wishes Hands Free Breast Pump Bustier. I'll be trying a DIY sports bra next...",1
"The sizes run way too small and the zipper split when I was trying to get it off. It's not worth the money you pay for it.",1
"you need a bra like this but don't get this brand. the zipper broke on both of mine since they used such a cheap one. now i have a [brand name] bra that is much nicer and sturdier.",1
"I was obviously looking for something that would allow me to pump hands free and this is perfect! I am a size 34 D and I got the size medium! It fits perfectly, I have also washed and dried the bustier and it still fits perfectly! I will have to say the very first time I put it on I had a terrible time with the zipper, since the first initial wearing I had no further issues! I love this bustier!!! :)",1
"The very first time I tried this on the zipper broke. Complete waste of money. I should have listened to the other reviews on the poor quality zipper.",1
"There are much better options out there. This bra is much more work than it needs to be. Need to separate shields/flanges from pump to use bra. There are MUCH better bra options out there that allow you to skip the dismantling. Simple wishes hands-free bra is the way to go.",1
"Purchased this bra, since let's be honest, you absolutely need a hands free bra! Was so annoyed when the zipper broke after a week. Target was kind enough to replace it and well the second one's zipper broke as well! I just went out & recently purchased Lanisohn's hands free bra works well, wish I saved the $33 and did that to begin with!",1
"I have tried two sizes. Both were wrong. There is no way I am a Large. I have a small frame and fairly average size breasts. Any way, the zipper broke on each of the sizes I tried. This bustier was very poorly made.",1
"This is a waste of money. I had one and the zipper broke within a few days so I returned it and got another and now the zipper is broken on that one too. I have ended up cutting it's in a old sports bra.",1
"The zipper doesn't line up right, so it's a battle to zip it up. And then on top of that, the seam has ripped. I ended up buying the Lasinoh version and it is leaps and bounds better quality.",1
"Just no support and uncomfortable. disappointed",1
"This bra doesn't offer a whole lot of support. It just let things \",1
"Back it goes. I am normally a 36C. Now at 33 weeks pregnant, I am a 36D. I purchased this bra in a 36D/DD/E, and it while the cups fit snugly, I don't believe they'll give if I expand to a DD or E. Also, the part that wraps around and snaps is at least 2 inches too short. The sizing is WAY off for this bra.",1
