RATING,TEXT
2, digs shoulders  uncomfortable 
5, nursing bra comfortable sleep nursing bras ordered  really enough support \
3, love look feel bra ordered bra sent back sides poof  thought would try hoping change  bra designed criss-cross 's way look good 
2, purchased bra several months ago  fit great  however  wearing hour  starts ride area front two wires meet  end pooching looks like third \
2, awesome concept & right product could prevent world pausing pump  zipper broke first time put ( 's poor quality  definitely got correct size )  using 4 months  still fight zipper time  takes 10 tries sometimes zipper engage sometimes give  price right something poor quality  attaching prong snaps week 
4, cute comfy fall season  kind thin \
4, bought belly bandit prior c section delivery hopes bouncing back pre-pregnancy body since 've always athletic build  size 1 pregnancy purchased xs  disappointed tried wear 4 days postpartum would even close ! even filled return slip tried 2 days later curiousity barely closed kept  sudden began shrink 2 weeks postpartum tight need  loved support provided weak core definitely think helped shrink waist dock star rating feel like need xxs one available 
1, bought last week loved store  another reviewer said  never even got wear  : - ( washed first ( per care tag ) red trim ran place  going right back store  sad super cute 
4, great comfort support would like little coverage front area 
4, cute comfy  kinda see-through super cute long shirt nude panties going tuck  loved length 5 ' 4\
5, nursing moms  must  know waited long get  let tell  makes life much easier ! trust  wo regret  size  'm 36 d ordered medium fits perfectly 
1, one side padding came deformed  tried mold back shape  luck 
3, straps narrow even though fabric moves support claimed  like leisure bra use  wo order another style 
1, return  way small even though 've worn size forever ! ! paid told return postage also ! purchasing ! !
5, got greatest invention ever ! used 3 times far 3 times great ! wear 38c large fits perfect  feel like much time whereas pump 1 breasted time could hold time  use mine lansinoh pump  definately reccommend mom pumping 
1, ordered 36c bra actually measures 285\
2, comfortable bra due scratchy lace fabric  also rides really high arms 
1, triangle pads  one round pads much flattering ! flatten top chest  like  straps also thick u shape front wear many shirts  good support though 
1, disappointed bra  ordered regular size small cdnt close  send back  ware 
1, slide like pants 've ever worn  ca even wear casually stupid removed tags thinking worked okay  dont buy pants 
