RATING,TEXT
2, excited start using bustier  recently returned work really need use pumping time working sitting holding pump ! well  able use twice  granted  two uses awesome  able multitask ease  third time put  zipper busted 's completely useless 
2, 'm 32 dd 34d bought medium per size chart  band huge  even tightest hook  brand new leaves bra give virtually support  'm going return  may great larger band sizes 
5, try shirt purchased luckily fit well 
2, bought 2 bras love overall fit cup  found 1/2 inch elastic band rolls lay flat  ( even hand washing line drying ) 6 bras rotate one bra over-worn  suggestion company would increase width band larger sizes  buying bras due rolling elastic 
4, really like   know pull off- like say ! best bet shorts  really lovely possible outings ! tight fit nice look  much recommend  took forever find  many sizes short  good \
4, 'm 5 ' 3\
5, cute  flattering easy wear dress  'd considering  wish 'd gotten sooner  worried shorter front would short  5 ' 7\
1, thin cups hide anything  returned 
5, love one  easier put  better coverage  better fit  bought one first !
4, looking non-padded bras could find reasonable price  found site accident checked bras  ordered one result purchased two  fit true size get day comfort  nice looking bra supportive\nthe material could softer  like bras lining cups  wash nicely 
4, looking front close bra  one feels great  looks great  wrist also came non-racer back  though 
5, heavy chested woman skeptical bra would fit  8 months pregnant go comfort looks  fits perfectly comfortable go day without discomfort normal bras 
4, 've looking good basic striped tee layering  attracted boat neck shirt  well interesting two tone grey stripe  liked spacing stripes  would receive perfect rating made stretchy material  cling  sized  would prefer cotton  fills hole wardrobe right 
1, run way small  'm always medium large tight ! actually like  material price would definitely order 2 sizes ! ! !
4, beautiful color  it 's silver described  's even pewter like picture  more like dark copper color  'll still keep like sequin skirts  especially maxi style  nowhere near deal got online  oh  sequins fell tried 
3, first time 've bought minimizer  make shirts less tight  sort make breasts look bigger larger diameter  's ok  bad  fantastic 
2, based reviews  order size smaller normally wear fit perfectly  design flattering makes look thinner like material  'm returning dress liner  white parts  see material stops toward neckline makes difficult wear undergarments match skin tone  dress lined  would keep 
1, wearing first time heat rash ! fit good either  give nice shape lift
5, 've bought several friends  absolutely love results 
2, complaint man-made fabric bra  trouble underwear made sort fabric  first  shrinks washed -- -even cold water ; smell gets worse body heat fabric  anoying ; last breaks skin itchy rash  find true almost man-made fibers  returned bra  onehanesplace nice problem products  love shopping  better dept  stores
1, unhappy bra  satisfied fit save receipt else would gone back  lesson learned  torture time wear hoping get money  band around chest rolls uncomfortable 
2, bra virtually support loses shape rather quickly ! recommend bra busty woman like  plus side straps material comfortable 
4, needed swimsuit trip ; however  realize purchasing top  still enjoyed purchase  fit true size comfortable 
2, 'm 5 ' 4 120lbs ordered xs online  's cute enough roomy extra small  's hoping shrinks wash little darker pictured  back pockets combination oversize fit unflattering flattening effect 
